Tip amount,Time,Day,Culture,Married,Age
20,10,mon,P,NM,30
5,11,mon,W,NM,16
5,11,mon,E,M,40
3,11,Fri,M,M,40
6,11,Fri,W,NM,30
0,13,Fri,I,NM,20
5,12,Fri,W,NM,30
5,11,Fri,H,NM,16
10,11,Sat,W,M,40
5,11,Sat,W,NM,30
4,12,Sat,W,NM,25
4,13,Sat,I,NM,30
3,13,Sat,W,NM,35
25,14,Sat,W,M,40
5,14,Sat,A,NM,30
4,15,Sat,M,NM,25
3,16,Sat,I,M,35
25,16,Sat,W,NM,45
2,17,Sat,M,NM,25
4,10,Tue,W,NM,30
4,11,Tue,W,M,40
7,11,Tue,P,NM,30
4,13,Tue,A,NM,6
5,14,Tue,I,NM,30
5,14,Tue,W,M,35
3,15,Mon,M,M,40
5,15,Mon,A,NM,30
2,15,Mon,W,M,55
5,16,Mon,M,NM,40
8,17,Mon,W,NM,45
6,17,Mon,B,NM,30
15,18,Mon,W,NM,30
15,10,Wed,W,M,40
3,11,Wed,W,NM,16
3,11,Wed,W,NM,17
5,12,Wed,I,NM,35
10,12,Wed,W,NM,30
7,13,Wed,W,NM,30
20,15,Wed,P,NM,30
7,10,Thur,M,NM,25
5,11,Thur,W,M,50
10,12,Thur,W,NM,30
4,12,Thur,P,NM,30
5,13,Thur,A,NM,20
7,13,Thur,W,NM,25
4,14,Thur,M,M,40
7,10,Fri,W,NM,35
8,11,Fri,W,NM,30
5,11,Fri,W,M,50
2,12,Fri,I,NM,40
10,12,Fri,W,NM,20
10,13,Fri,W,M,25
9,13,Fri,W,NM,30
15,14,Fri,W,NM,30
5,14,Fri,A,M,40
10,10,Sat,W,M,40
4,11,Sat,W,NM,30
5,11,Sat,M,NM,30
4,13,Sat,M,M,35
5,13,Sat,W,M,50
6,14,Sat,I,NM,30
5,15,Sat,I,NM,35
4,15,Sat,W,NM,30
7,17,Sat,I,M,40
7,17,Sat,I,NM,10
3,17,Sat,W,M,50
7,18,Sat,W,M,35
10,15,Tue,P,NM,25
5,15,Tue,M,NM,20
40,16,Tue,P,NM,35
5,16,Tue,W,NM,20
4,17,Tue,W,NM,16
10,17,Tue,W,M,40
8,18,Tue,W,NM,31
25,18,Tue,I,NM,30
5,19,Tue,I,NM,25
5,19,Tue,W,NM,10
2,10,Sat,I,NM,35
2,11,Sat,A,NM,4
10,11,Sat,W,M,35
3,12,Sat,I,NM,30
5,12,Sat,W,M,50
3,13,Sat,I,NM,40
2,13,Sat,I,M,35
7,13,Sat,W,NM,5
5,14,Sat,E,M,40
2,15,Sat,W,M,40
5,15,Sat,W,NM,30
5,16,Sat,W,NM,30
5,16,Sat,W,NM,35
10,10,Wed,W,M,35
5,11,Wed,I,M,40
5,11,Wed,E,NM,3
10,13,Mon,W,M,35
3,13,Mon,I,NM,30
7,15,Mon,I,NM,45
4,12,Mon,W,M,35
5,12,Mon,W,NM,25
25,13,Mon,W,NM,30
4,13,Mon,A,NM,30
5,14,Mon,W,NM,11
3,14,Mon,W,NM,40
3,15,Mon,W,NM,11
3,15,Mon,M,NM,10
5,16,Mon,V,M,45
4,16,Mon,W,NM,16
5,12,Tues,W,M,40
3,13,Tues,W,M,30
10,14,Tues,W,M,35
20,15,Tues,P,NM,30
5,10,Sat,A,M,40
5,11,Sat,W,M,40
5,12,Sat,W,NM,10
10,1,Sat,W,M,40
1,13,Sat,I,NM,10
5,14,Sat,W,M,36
3,15,Sat,W,NM,8
5,16,Fri,I,NM,35
